2025-11-29T14:22:07.027-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=exceptionOverride...............none
2025-11-29T14:22:07.027-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=exceptionOverrideClassName......none
2025-11-29T14:22:07.028-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=healthCheckProperties...........{}
2025-11-29T14:22:07.028-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=healthCheckRegistry.............none
2025-11-29T14:22:07.029-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=idleTimeout.....................600000
2025-11-29T14:22:07.029-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=initializationFailTimeout.......1
2025-11-29T14:22:07.030-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=isolateInternalQueries..........false
2025-11-29T14:22:07.031-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=jdbcUrl.........................jdbc:h2:mem:tiqueteradb;MODE=MySQL;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=FALSE
2025-11-29T14:22:07.032-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=keepaliveTime...................120000
2025-11-29T14:22:07.033-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=leakDetectionThreshold..........0
2025-11-29T14:22:07.033-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=maxLifetime.....................1800000
2025-11-29T14:22:07.034-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=maximumPoolSize.................10
2025-11-29T14:22:07.034-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=metricRegistry..................none
2025-11-29T14:22:07.036-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=metricsTrackerFactory...........none
2025-11-29T14:22:07.037-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=minimumIdle.....................10
2025-11-29T14:22:07.038-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=password........................<masked>
2025-11-29T14:22:07.039-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=poolName........................"HikariPool-1"
2025-11-29T14:22:07.041-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=readOnly........................false
2025-11-29T14:22:07.042-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=registerMbeans..................false
2025-11-29T14:22:07.043-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=scheduledExecutor...............none
2025-11-29T14:22:07.043-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=schema..........................none
2025-11-29T14:22:07.044-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=threadFactory...................internal
2025-11-29T14:22:07.044-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=transactionIsolation............default
2025-11-29T14:22:07.045-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=username........................"sa"
2025-11-29T14:22:07.045-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariConfig | message=validationTimeout...............5000
2025-11-29T14:22:07.046-05:00 | INFO  | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariDataSource | message=HikariPool-1 - Starting...
2025-11-29T14:22:07.259-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Attempting to create/setup new connection (a5872d10-47b6-4de9-841a-7723d544b134)
2025-11-29T14:22:07.749-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Established new connection (a5872d10-47b6-4de9-841a-7723d544b134)
2025-11-29T14:22:07.753-05:00 | INFO  | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:tiqueteradb user=SA
2025-11-29T14:22:07.760-05:00 | INFO  | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.HikariDataSource | message=HikariPool-1 - Start completed.
2025-11-29T14:22:07.861-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - Pool stats (total=1/10, idle=0/10, active=1, waiting=0)
2025-11-29T14:22:07.862-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Attempting to create/setup new connection (0542c614-3a34-4207-bcc6-6ebf123c14f3)
2025-11-29T14:22:07.864-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Established new connection (0542c614-3a34-4207-bcc6-6ebf123c14f3)
2025-11-29T14:22:07.865-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - Added connection conn1: url=jdbc:h2:mem:tiqueteradb user=SA
2025-11-29T14:22:07.884-05:00 | INFO  | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=org.flywaydb.core.FlywayExecutor | message=Database: jdbc:h2:mem:tiqueteradb (H2 2.3)
2025-11-29T14:22:07.896-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - After adding stats (total=2/10, idle=1/10, active=1, waiting=0)
2025-11-29T14:22:07.896-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Attempting to create/setup new connection (119f13e9-94f7-4980-9553-4bda0993a6ae)
2025-11-29T14:22:07.898-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.PoolBase | message=HikariPool-1 - Established new connection (119f13e9-94f7-4980-9553-4bda0993a6ae)
2025-11-29T14:22:07.898-05:00 | DEBUG | traceId=no-trace | method= | endpoint= | userId=anonymous | clientIp= | logger=com.zaxxer.hikari.pool.HikariPool | message=HikariPool-1 - Added connection conn2: url=jdbc:h2:mem:tiqueteradb user=SA
